Sort,nt_acc,genome_segment_length_bp
9059,GQ294472.1,13298.0
12432,MK439999.1,107063.0
6773,M69205.1,11708.0
12143,LT841149.1,34080.0
12174,FJ349096.1,35758.0
6775,AF103728.1,11626.0
12260,KJ563221.1,31709.0
12129,KX961095.1,29923.0
12568,MH017546.1,2892.0
12131,KX871230.1,31481.0
12258,MK774519.1,31743.0
4485,KP768176.1,6219.0
110,JX867617.2,202949.0
10826,KY312541.1,7073.0
148,KT595939.1,122522.0
6747,GQ281603.1,11381.0
12130,KX961096.1,29812.0
7128,KC796078.1,9188.0
9713,KC589005.1,6341.0
12320,MK746083.1,130540.0
12139,U77082.1,31323.0
12127,KT698856.1,29581.0
9830,GU446656.1,166.0
12285,KP238322.1,31848.0
12138,Y07760.1,30536.0
6783,L01442.2,11447.0
10365,AB090161.1,8021.0
10364,MF172923.1,8122.0
10236,KX947267.1,26769.0
10361,JX443418.1,8120.0
6760,AF075253.1,11391.0
12328,MN233792.1,161734.0
6765,AF075256.1,11344.0
12128,KT698852.1,29162.0
10366,MF416403.1,7986.0
39,DQ657948.1,295146.0
6787,AF075255.1,11311.0
6741,AF075259.1,11385.0
12423,EF203088.1,96944.0
9847,MT153420.1,7043.0
12135,AC_000191.1,34185.0
10234,AF227196.2,26253.0
6759,AF075257.1,11465.0
10360,X56019.1,8101.0
6746,AF075251.1,11395.0
6778,AF075254.1,11530.0
10235,EU487200.1,26662.0
6766,AF075258.1,11494.0
6776,AF429428.1,11569.0
7240,M31182.1,12573.0
12119,GU936707.2,45413.0
11757,AF033811.1,8332.0
10215,JQ957872.1,20070.0
12348,FJ227128.1,141291.0
12014,X69198.1,185578.0
12382,MW645368.1,165657.0
120,AF037218.1,153080.0
106,KR351281.1,226084.0
103,KR297253.1,223083.0
12156,AY601633.1,35382.0
6755,EF151503.1,11661.0
12151,DQ086466.1,35343.0
10132,KC787658.1,15596.0
10245,MG600030.1,30859.0
10130,KR862307.1,15247.0
7231,GU566734.1,9630.0
7165,M18370.1,10976.0
12380,KJ676450.1,135952.0
12297,JN632576.3,14776.0
10145,U15146.1,14104.0
10128,AF180391.2,15717.0
6753,DQ241303.1,11604.0
6754,KJ469640.1,11624.0
10341,MF327529.1,8029.0
10214,JQ957874.1,20074.0
12290,KP144329.1,24662.0
135,KF274499.1,137090.0
119,AF157706.1,162114.0
12291,MK695679.1,27163.0
10377,AB747255.1,8081.0
12092,KJ156523.1,32965.0
10631,KX156159.1,7909.0
7188,M12294.2,10962.0
12288,AF224336.1,26163.0
155,AF318573.1,108873.0
8849,AB040874.1,15384.0
9846,KX852391.1,6914.0
7146,KF917536.1,10284.0
11747,AF052723.1,8448.0
6744,X63135.1,11675.0
10380,AB747258.1,8079.0
12371,KM009991.1,151109.0
12293,MK227353.1,27209.0
10372,HM181996.1,7984.0
7249,KY370101.1,13220.0
12376,AF169823.1,135611.0
12292,MN687905.1,27192.0
10138,KC787630.1,15446.0
10139,U87392.3,15411.0
4433,KX533457.1,5186.0
12583,MH017563.1,2839.0
10486,LK021688.1,7407.0
138,DQ083950.1,174.0
104,AF480884.1,241087.0
12289,FJ849795.1,13628.0
107,FJ483967.2,196691.0
10143,M96262.2,15111.0
12296,AF074946.1,26263.0
12295,HM585353.1,26340.0
12294,EU715130.4,26284.0
12158,AY128640.2,34794.0
12126,KT698853.1,37545.0
12097,DQ106414.1,27751.0
8931,FJ715959.1,15764.0
9740,KX884772.1,7545.0
10011,KX883006.1,9925.0
10557,V01150.1,7441.0
130,AY037858.1,171096.0
12324,MH370144.1,128525.0
12723,AJ632308.1,14489.0
12444,MF768985.1,285973.0
7236,AY781152.3,12273.0
12644,KY246582.1,2201.0
12389,KX855660.2,144673.0
9864,KU933936.1,6553.0
12441,KY827813.1,281054.0
12603,AB057358.1,2199.0
134,AF005370.1,130608.0
10559,X00595.1,7439.0
10560,K01392.1,7431.0
7244,MK910227.1,11880.0
12145,KT160425.1,33090.0
6750,AB032553.1,11698.0
6749,AY702913.1,11597.0
6751,EF011023.1,11690.0
4420,MG721015.1,5234.0
9862,KM048311.1,6600.0
11959,KM262844.1,182362.0
12053,AF063866.1,236120.0
7214,KC410872.1,11197.0
158,AF148805.2,137969.0
9045,JF705876.1,11220.0
11756,AF033813.1,5833.0
12434,AF332093.3,305119.0
12039,AF250284.1,232392.0
8811,DQ100461.1,19212.0
12435,AF440570.1,307287.0
11673,U15406.1,8865.0
11979,AF198100.1,288539.0
6756,AF237947.1,11411.0
10243,KX883638.1,30353.0
10576,EU840733.1,7229.0
8820,MG516455.1,20148.0
8823,JN689227.1,19152.0
10630,KX156158.1,7805.0
6768,M20162.1,11657.0
6767,GQ433354.1,11948.0
10580,JX514942.1,7395.0
128,KP676001.1,154158.0
11944,DQ643392.1,191100.0
10496,AF114383.1,7400.0
8918,MW491752.1,14053.0
10492,M88483.1,7399.0
4617,JF800658.1,7828.0
11960,AM712239.1,182284.0
10524,AF162711.1,7440.0
9035,MW491759.1,10846.0
10149,MG600025.1,14939.0
12254,HQ913600.1,36838.0
12334,KU565883.1,128058.0
9161,MN781667.1,14961.0
10590,DQ092792.1,7412.0
142,AY170316.1,60326.0
10593,KU172420.1,7451.0
11112,FJ528584.1,10411.0
6762,AF079456.1,11822.0
10594,DQ092770.1,7397.0
10515,AF317694.1,7410.0
10549,KF990476.1,7420.0
10607,MG958646.1,7370.0
10544,KM273013.1,7336.0
10722,EF173423.1,7216.0
12439,KT995470.1,294261.0
11506,AF461742.1,5698.0
10605,JQ277724.1,7408.0
10604,JN807387.1,7387.0
10602,AF363455.1,7401.0
11964,KM262845.1,172051.0
10595,DQ092795.1,7389.0
6764,AF079457.1,11821.0
12440,KT995471.1,284148.0
10596,DQ092794.1,7394.0
12244,M81889.1,3020.0
12438,KT995472.1,309286.0
12065,BK011003.1,12571.0
10606,JQ818253.1,7393.0
10600,LC038188.1,7414.0
10601,AF363453.1,7388.0
139,AY839756.1,135135.0
6763,M20303.1,11835.0
10554,KJ701249.1,6224.0
10610,KP982873.1,7396.0
11963,AM712240.1,171719.0
9874,LC618931.1,6279.0
12093,MT050041.1,35275.0
10497,AF039205.1,7398.0
10553,KJ418244.1,6545.0
9618,KF254775.1,1032.0
11507,AF062037.1,2482.0
11731,AF033808.1,9392.0
9594,KF254772.1,1111.0
38,JQ815364.1,290304.0
88,AF030027.1,145597.0
83,MH036942.1,138199.0
7215,KC796080.1,10465.0
4471,MG654481.1,4825.0
12592,LC381845.1,2810.0
11938,AY666015.1,139793.0
11949,HF920637.1,220222.0
9741,KM048313.1,6733.0
140,AF478169.1,73200.0
11941,HF920634.1,196456.0
12247,AF252854.1,33034.0
11940,HF920633.1,197693.0
141,AY170317.1,59673.0
4981,MZ813278.1,4772.0
162,KF703446.1,127320.0
152,KU220026.1,129563.0
10460,KT880670.1,8204.0
12428,JN418988.1,231621.0
9036,MW491756.1,10969.0
11730,AF033810.1,4788.0
11728,AF033809.1,3392.0
96,JF797218.1,140377.0
4441,KT884050.1,5163.0
4767,V01116.1,7815.0
9042,KM204985.1,11211.0
90,MF431611.1,149600.0
156,MH932584.1,133999.0
12665,JN704611.1,2618.0
10314,AB766259.1,10967.0
10240,KM589359.1,20261.0
8943,KM205021.1,11457.0
9738,KM817690.1,9549.0
12566,EF538882.1,2912.0
9721,KX884796.1,6742.0
8946,KM205006.1,11450.0
9852,MN062090.1,6474.0
10504,AF083069.1,7433.0
8901,KM204995.1,13070.0
6454,AY238391.1,1276.0
10494,AF081485.1,7403.0
9786,KR106177.1,6453.0
10495,X05690.1,7395.0
9840,KP966619.1,6456.0
10804,KY432927.1,8315.0
9739,KX884809.1,6947.0
7248,MK636874.1,12443.0
12414,AF403738.1,108252.0
12203,DQ900900.1,35213.0
12109,KT862812.1,43347.0
9743,MF141052.1,6714.0
10212,KX883629.1,20278.0
12184,AB448767.1,34980.0
10281,AJ249939.1,7490.0
9046,MW491758.2,10773.0
9868,KM817672.1,6517.0
79,KU936049.1,137452.0
8891,KJ636781.1,12240.0
8986,FN557213.1,11806.0
12141,KY306667.1,33945.0
12577,MK212031.1,2907.0
11894,AM398843.1,156922.0
9736,MT498812.1,8529.0
10750,GQ223227.1,7107.0
4906,KJ396347.1,4928.0
12400,AF142425.1,1241.0
4431,V01108.1,5153.0
10751,GQ223228.1,7111.0
4446,LC185218.1,5014.0
9873,KM817684.1,6659.0
10776,KM486097.1,6456.0
154,AF083424.1,108409.0
10793,JF317015.1,7154.0
10753,EU840952.2,7108.0
9034,KM205023.1,11290.0
10787,KY624849.1,6972.0
12729,EF710638.1,140906.0
9732,BK062755.1,6467.0
10794,KP282614.1,7054.0
6591,JN635296.1,9761.0
8618,MG489864.1,12434.0
165,X64346.1,112930.0
6592,M15240.2,9762.0
7109,KP641127.2,8880.0
10744,EF077280.1,7015.0
12723,AJ632306.1,29874.0
10445,AF296091.1,7018.0
10442,AF296088.1,7012.0
12091,Y09598.1,33213.0
10441,AF296087.1,7017.0
6577,L08816.1,7176.0
12123,GU226970.2,31806.0
10446,AF296092.1,7014.0
12124,LC385828.1,31750.0
12120,KF477312.1,42940.0
10452,JQ429405.1,7123.0
10444,AF296090.1,7008.0
10443,AF296089.1,7014.0
10450,AF296096.1,7111.0
10447,AF296093.1,7017.0
10449,AF296095.1,7009.0
12255,MF773580.1,27952.0
10533,AY208120.2,2574.0
4825,KC810012.1,7267.0
9737,MT860240.1,8892.0
12759,AB291183.1,4180.0
115,KC503762.1,233501.0
114,KF921519.1,180800.0
12639,AY823991.1,2735.0
8892,KM205018.1,12639.0
11767,M25381.1,9474.0
8900,KM204994.1,13170.0
8893,KM205003.1,12626.0
10386,FJ438905.1,2106.0
8615,KX884444.1,13517.0
6769,AJ316246.1,11900.0
4451,AB767299.2,5167.0
9822,MT270834.1,6472.0
4455,AB767295.2,5181.0
7127,KJ950939.1,8568.0
10936,KX644936.1,7092.0
7207,EU707555.1,10814.0
7201,DQ837642.1,10793.0
95,MH509440.2,114546.0
12727,AY875680.2,4576.0
10211,MK956105.1,25068.0
161,AF083501.3,133719.0
9772,MT270828.1,6366.0
12136,AF030154.1,34446.0
12646,KR902501.1,2197.0
10291,AY275710.1,9524.0
12275,KP329565.1,34064.0
7110,KC551800.1,10412.0
10224,MN714662.1,18939.0
56,AF291866.1,159160.0
8925,KM204986.1,15721.0
59,KM924292.1,160358.0
12279,KP329564.1,35159.0
8821,AY900001.1,18954.0
4428,KM282376.1,5145.0
11903,KT804738.1,112565.0
11892,KJ755191.1,198157.0
7200,DQ235150.1,10269.0
11752,X03711.1,2473.0
12604,AB041960.1,3371.0
160,KP265674.2,129492.0
80,KT819633.1,125171.0
12233,AY771780.1,34450.0
12736,Z58828.2,11852.0
12235,MG969551.1,35481.0
12236,DQ792570.1,31045.0
4447,AM748741.2,5075.0
12066,BK010890.1,12754.0
10237,DQ898157.1,26660.0
12237,KP329562.1,34510.0
4425,JX159985.1,5189.0
10904,KX783432.1,8885.0
10373,AB747251.1,8027.0
9659,FJ943505.1,945.0
4907,KX981923.1,4242.0
4909,MT770849.1,4203.0
8666,MW864603.1,12118.0
4549,DQ080080.1,7843.0
9720,MN823639.1,6277.0
4892,MT393593.1,4269.0
9039,KM204982.1,10821.0
9044,MW491755.1,10977.0
9047,MW491754.1,10951.0
9043,MW491760.2,10991.0
4910,MZ357124.1,4350.0
7111,KP325401.1,9531.0
8866,AF371337.2,13350.0
7129,KC815310.1,8879.0
9401,KJ420567.1,6581.0
9334,KX845680.1,6432.0
7126,KC411784.1,9188.0
9337,MH499472.1,6533.0
10226,MN714663.1,19113.0
9339,KU950715.1,6556.0
9760,KM817689.1,6779.0
4453,J02226.1,5130.0
10379,AB747257.1,8083.0
7134,KC796077.1,8916.0
93,X04370.1,124884.0
10983,KX883940.1,10315.0
40,FJ815289.2,66037.0
4550,M62849.1,7833.0
4904,M20036.1,4801.0
7160,X03700.1,10862.0
7170,AY632541.4,10874.0
12098,MN153802.1,35595.0
7130,U22304.1,9143.0
8929,KM205014.1,12957.0
4770,X56147.1,7614.0
12102,U46933.1,43804.0
4489,X00203.1,7902.0
7257,X00956.1,1399.0
7176,DQ525916.1,10940.0
11896,CU469068.1,119343.0
12149,AM749299.1,33763.0
12142,KR024710.1,29474.0
9884,MT241517.1,6319.0
49,JN596962.1,152975.0
82,AF275348.3,124784.0
12147,X73487.1,34125.0
12281,KP329566.1,35670.0
12270,KP329561.1,35685.0
10448,AF296094.1,7006.0
10278,KJ577139.1,7443.0
7156,X07755.1,3700.0
10456,MG875516.1,6922.0
8871,KC994644.1,11482.0
4559,D21208.1,7801.0
8865,AY640317.1,13373.0
6461,KX756623.1,620.0
9877,D10759.1,6423.0
9879,JQ924562.1,6298.0
12645,KY246547.1,2105.0
9876,JF838330.1,6477.0
4547,AF131950.1,7812.0
10455,LC386157.1,7154.0
9875,HM566191.1,6422.0
12280,FJ025931.1,31967.0
12282,HQ605912.1,34302.0
4546,X05015.1,7857.0
4548,DQ080079.1,7822.0
12261,AY598782.1,34246.0
12263,JQ776547.1,34115.0
4553,X77858.1,7896.0
10258,JQ860350.1,28301.0
10454,MG875515.1,6931.0
7136,AY632536.4,10815.0
9863,JF838327.1,6513.0
7151,U88536.1,10735.0
12267,HQ241818.1,34201.0
12638,AB076001.1,2878.0
111,KC462165.1,180421.0
7202,JF895923.2,10990.0
12216,AB333801.2,34920.0
7135,AF160193.1,10116.0
10918,MG600076.1,8591.0
89,MT012704.1,147609.0
12244,AC_000012.1,30944.0
151,LC333428.1,147790.0
87,KM051845.1,151601.0
4491,M14119.1,7931.0
4970,AY386330.1,5596.0
12210,AY875648.1,35178.0
9742,KU230449.1,6704.0
7150,U87411.1,10723.0
12272,JN880448.1,35558.0
7251,KJ950914.1,12983.0
9871,HM566159.1,6425.0
12271,HQ241820.1,35512.0
12244,U95843.1,9991.0
7152,M93130.1,10696.0
7189,D00246.1,10664.0
4472,KP264963.1,3962.0
9878,JF838324.1,6425.0
8903,KM205012.1,13593.0
12268,HQ241819.1,35499.0
86,AY665713.1,150224.0
7175,AF253419.1,10943.0
12183,AJ854486.1,35083.0
12187,AB562586.1,35116.0
7182,DQ235153.1,10245.0
4562,M12732.1,7909.0
7183,DQ235144.1,10266.0
8932,KM205025.1,13189.0
10367,JQ864242.1,8530.0
10369,MF352424.1,8417.0
7195,L06436.1,10839.0
12162,HC084988.1,35592.0
125,AF319782.2,149696.0
7212,KJ776791.2,10807.0
7213,KX377337.1,10807.0
7186,AF161266.1,11014.0
9731,BK062758.1,6328.0
7190,JX236040.3,10943.0
8926,KM205010.1,13695.0
164,GQ169129.1,120108.0
7184,AJ242984.1,10600.0
7196,AF311056.1,10800.0
7157,L40361.3,10927.0
7191,AY193805.1,10787.0
12164,HC085020.1,35646.0
12283,KM190146.1,32661.0
12684,KJ194604.1,2591.0
7268,AJ401165.2,3100.0
7174,AF331718.1,10685.0
9589,KY910431.1,945.0
7267,EF433472.1,3004.0
163,U97553.2,119451.0
7161,DQ235145.1,10251.0
7250,KY370100.1,12768.0
7203,KF815939.1,10673.0
7266,EU826137.1,3100.0
7209,AB114858.1,10857.0
10225,MN961271.1,20336.0
7168,DQ235146.1,10215.0
12166,HC085083.1,35694.0
7278,AB056571.1,3107.0
47,AY509253.2,207439.0
7158,DQ837641.1,10510.0
4816,AF486184.1,7276.0
9866,LC153711.1,6430.0
7211,KY766069.1,11155.0
7281,EU236148.1,3112.0
7169,AY632540.2,10723.0
7181,DQ235151.1,10245.0
7141,AY632545.2,10941.0
12168,HI964271.1,35100.0
12165,HC085052.1,35588.0
34,DQ665652.1,231801.0
7173,AY323490.1,10376.0
9508,M19420.1,980.0
7270,AY324869.1,3105.0
7272,AF319555.1,3103.0
12278,KP329563.1,32939.0
7210,AY632535.2,10794.0
92,FJ478159.2,135797.0
76,HM625781.1,156742.0
9376,AF005727.1,1904.0
10993,MF041813.1,10950.0
7197,DQ235149.1,10254.0
57,LT608135.1,164540.0
112,MN373268.1,204633.0
9784,HM566185.1,6473.0
12759,AB291206.1,5404.0
4560,D90400.1,7824.0
9771,MF593931.1,6376.0
9733,KF543244.1,6367.0
9883,KM817704.1,6527.0
12759,AB291197.1,5050.0
12759,AY556383.1,2755.0
12230,JN254802.1,36711.0
11763,V01201.1,5779.0
9792,KF297903.1,6436.0
12227,HB426671.1,36494.0
12228,HB426607.1,36553.0
8910,MF615270.1,14814.0
12760,AB289924.1,2199.0
4996,JQ037753.1,5065.0
12146,MN986925.1,37031.0
9061,FJ952155.1,11092.0
62,AY714813.1,150715.0
53,KX589235.1,204237.0
12736,AJ278677.3,14159.0
12220,AY530877.1,36604.0
12760,AB289959.1,2738.0
6253,JX185430.1,2225.0
12221,AY530878.1,36535.0
157,HQ221963.1,124335.0
8942,KM204992.1,11528.0
9844,KX611403.1,6504.0
12223,HB426768.1,36628.0
9041,MW491757.1,10971.0
12225,HC191003.1,36556.0
4820,AJ620208.1,7296.0
9816,MF695812.1,6436.0
12219,AY530876.1,36462.0
8810,KY370098.1,19509.0
12759,AY570799.1,4063.0
11909,KR139659.1,124244.0
10148,MH447987.1,17738.0
8578,MT153506.1,8463.0
12723,AJ632315.1,16103.0
68,KY628970.1,157321.0
12420,KY457233.1,112307.0
9834,GQ847513.2,6439.0
9817,HM566174.1,6379.0
6471,KC588377.1,674.0
4558,K02718.1,7904.0
73,DQ149153.1,156487.0
4551,U21941.1,7905.0
9048,KF395226.1,11056.0
12760,AB289932.1,2341.0
12760,AB289964.1,2808.0
113,KT832477.1,205896.0
10435,KF958461.1,8398.0
10217,KC807171.1,20795.0
12760,AB289981.1,3083.0
11560,AF537216.1,7618.0
9668,MK896442.1,1076.0
8934,MW491751.1,12077.0
12685,KM609325.1,2572.0
12125,JN252129.1,31616.0
9757,KX884799.1,6974.0
9669,MK330171.1,858.0
94,MF678601.1,144144.0
10218,AB753015.2,20307.0
9870,KF892052.1,6457.0
46,JX453331.1,211518.0
66,AF533768.1,156789.0
10221,KY056254.1,20106.0
4474,AF241168.1,4981.0
10257,DQ310701.1,14531.0
6460,KM369887.2,1485.0
9028,KM205000.1,11397.0
9027,KJ399977.1,11156.0
10256,AY427798.1,28475.0
12760,AB289976.1,2944.0
10220,DQ458789.2,20192.0
9603,MK896534.1,1078.0
12760,AB289951.1,2615.0
12760,AB289966.1,2840.0
9831,JX472400.1,6403.0
9832,MG573142.1,6403.0
10422,KX156157.1,7441.0
12760,AB289982.1,3111.0
12178,HC191035.1,37786.0
10233,MT907511.1,29110.0
9829,MG573144.1,6405.0
12640,JQ406846.1,2899.0
4905,JN202450.1,4441.0
9766,KR363190.1,6405.0
8776,HM849038.1,11367.0
9764,KJ939330.1,6405.0
9805,KU255114.1,6403.0
10315,AF323747.1,9476.0
12760,AB289996.1,3519.0
10845,MG600110.1,7999.0
8870,KF534749.1,11876.0
9783,HM566147.1,6414.0
12657,MK012516.1,2218.0
12729,EF710642.1,104039.0
159,AY528864.1,131217.0
69,KT594769.1,140122.0
8867,AF295543.1,15140.0
4449,MK671101.1,5236.0
12175,HC000816.1,37828.0
9719,KC335496.1,6296.0
9869,HM566181.1,6466.0
9203,MF176268.1,13259.0
12176,HC000847.1,37799.0
12177,HC000785.1,37718.0
74,AB825953.1,149459.0
75,LC492974.1,144008.0
8890,KM350503.1,12162.0
12245,HM049560.1,35203.0
9714,JX961616.1,6333.0
9718,KM114252.1,6341.0
8902,KM204984.1,12536.0
67,KY628968.1,157447.0
4644,EU188799.1,7498.0
4651,KC876045.1,7256.0
4650,FJ796965.1,7344.0
41,M75136.2,134226.0
4505,EU490516.1,7988.0
10822,MG600095.1,7790.0
5065,AF252610.1,2037.0
12760,AB289953.1,2631.0
9814,KY439873.1,246.0
4500,EF558840.1,7943.0
12683,HQ335084.1,2547.0
4503,EF558843.1,7990.0
60,KY385637.1,147346.0
12018,KY382358.2,127941.0
12723,AJ632332.1,11186.0
8978,MH188003.1,11301.0
9865,KM817668.1,6441.0
12286,KY427939.1,35030.0
143,MG452722.1,116729.0
10262,KX371097.1,6564.0
10420,KJ950971.1,7496.0
10820,MG600068.1,7965.0
9550,KM245522.1,955.0
12643,KF373758.1,2169.0
9791,JF920136.1,6416.0
9587,KF254781.1,1090.0
9827,JX472403.1,6376.0
10425,KY432925.1,7579.0
12676,MK012464.1,1774.0
12425,MG969167.1,154465.0
9500,OL774848.1,1129.0
12222,AF394196.1,36521.0
10935,KC935379.1,7272.0
11741,M10060.1,8952.0
12760,AB289968.1,2856.0
9872,KM114257.1,6412.0
4442,MG701353.1,5018.0
4504,EU490515.1,7920.0
12658,KJ194617.1,2235.0
9236,MF317491.1,7217.0
10424,KT944212.1,7475.0
9525,KM092514.1,1124.0
9712,KF848980.1,6368.0
9523,KF254778.1,1048.0
9798,MK330771.2,6418.0
10423,KT944214.1,7469.0
11736,AF033815.1,8557.0
124,KY965444.1,167212.0
12723,AJ632333.1,17477.0
4502,EF558842.1,8001.0
9843,KX611400.1,6405.0
9806,MK524337.1,6371.0
12679,LC387546.1,2039.0
12590,MH649114.1,2536.0
10356,AY593850.1,8170.0
10352,AY593805.1,8142.0
10354,AY593840.1,8179.0
4501,EF558841.1,7950.0
9775,MK330756.1,6406.0
12723,AJ632307.1,15876.0
10355,AY593849.1,8203.0
7167,KJ469371.1,10125.0
9787,KP771821.1,6444.0
9796,MK330768.1,6423.0
9763,KX611391.1,6407.0
9794,KF297900.1,6387.0
9826,KC669549.1,6513.0
4561,J04353.1,7912.0
4540,AB027021.1,7871.0
4498,EF558838.1,8063.0
10350,AY593829.1,8201.0
10351,AY593752.1,8204.0
4649,JQ031033.1,7519.0
9867,MG581739.1,6475.0
10974,KM259923.1,6938.0
10821,MG600069.1,7871.0
9785,KP272036.1,6352.0
9790,MT270825.1,6380.0
9769,KX611382.1,6410.0
4648,JQ031032.1,7554.0
4677,EU493091.1,6953.0
4676,EU493092.1,7020.0
10255,MW561977.1,28850.0
9833,HM627185.1,6427.0
9839,KP272043.1,6440.0
9838,KP272028.1,6407.0
9802,HM566152.1,6453.0
9800,KF297909.1,6441.0
9809,HM566167.1,6453.0
9762,MK330765.1,6374.0
10823,MG600075.1,8084.0
10987,MF041812.1,11092.0
10231,KX883636.1,24854.0
8632,FJ169440.1,6115.0
4448,JX159989.1,5067.0
8631,EU781967.1,8914.0
8633,JX065210.2,8901.0
6219,MK012473.1,2177.0
4499,EF558839.2,7935.0
9776,KP272040.1,6520.0
8630,JX065207.1,8870.0
9774,KX611388.1,6510.0
9807,LC063770.1,6443.0
8629,JX065209.1,8915.0
8940,KM205001.1,10863.0
4514,X74465.1,7919.0
64,JN561323.2,154675.0
4654,KT932713.1,7138.0
9793,MK524332.1,6490.0
12759,AY597814.1,3548.0
12542,AB041959.1,3763.0
147,KM924295.1,182380.0
4507,JF304764.1,8008.0
9773,KP272001.1,6449.0
4784,DQ366842.1,7970.0
6570,GU954430.1,6665.0
8634,KF578398.1,9006.0
12541,AB041958.2,3798.0
6568,AY535004.1,6654.0
8927,KM205008.1,13784.0
10843,AJ225173.1,7055.0
6569,EF206691.1,6649.0
8909,OK086697.1,14536.0
8636,KR612223.1,8973.0
48,MK360902.1,141537.0
4786,KX276956.1,7991.0
61,MT862163.1,131245.0
4857,MW306771.1,4966.0
9837,MK524345.1,6430.0
9835,KX611397.1,6394.0
9825,MK503253.1,6415.0
9808,HM566164.1,6466.0
6571,JN597006.1,6653.0
7185,AJ299445.1,10690.0
8635,KJ756399.2,8904.0
52,JF999965.1,160649.0
9768,MK524348.1,6354.0
7144,AF144692.1,10140.0
9734,HQ541738.1,6358.0
11765,M33677.1,9189.0
77,JX898220.1,134896.0
4516,AJ620211.1,7881.0
4518,GQ246950.1,7895.0
4520,U31783.1,7959.0
4517,FN547152.2,7809.0
8645,KC464478.1,8957.0
8638,AJ311524.1,8908.0
8644,KC464471.1,8930.0
8642,KF680099.1,5572.0
8643,LN713680.1,8798.0
72,JQ360576.1,153158.0
11769,M30502.1,10359.0
8646,KC595273.2,8914.0
9722,MN163034.1,7037.0
9823,JF920133.1,6317.0
11735,AY282754.1,266.0
4656,HQ262535.1,7048.0
11927,KP266742.1,103681.0
4652,KU519391.1,7527.0
9593,KJ481926.1,6843.0
4653,KU519393.1,7282.0
9821,MN163121.1,6344.0
10254,MT997159.1,36144.0
9770,KX611385.1,6402.0
9755,KT693187.1,6863.0
81,MG989243.1,134617.0
12688,LC387540.1,2508.0
9256,MF414201.1,7269.0
8907,OK086698.1,14360.0
8905,HM461974.1,15024.0
10346,KP264975.1,6995.0
10345,KY432299.1,7476.0
12672,LC387543.1,2498.0
63,JN555585.1,152222.0
12588,KU041847.1,2803.0
4768,X70828.1,7348.0
9820,MK524341.1,6477.0
10347,KU168861.1,7474.0
10348,KU159360.1,7494.0
9812,OU230765.1,6319.0
9765,HM566138.1,6393.0
9788,HM566155.1,6379.0
9795,MW368831.1,6412.0
9799,HM566162.2,6353.0
9815,HM119425.1,6408.0
8641,KM114265.1,8884.0
12729,EU001270.1,31710.0
146,U20824.2,184439.0
35,KX832224.1,207914.0
145,MF385016.1,166748.0
12586,MH648912.1,2679.0
12574,AB038629.1,2765.0
12570,KM259874.1,2855.0
12594,MH648982.1,2691.0
12634,KF294861.1,2020.0
4893,MN265364.1,4427.0
9264,GU078661.1,7198.0
9842,HM119431.1,6405.0
12760,AB289960.1,2759.0
9780,HM119422.1,6410.0
9243,AY847351.1,7228.0
11936,FR677324.1,2393.0
9244,EU136039.1,7215.0
9781,HM119419.1,6460.0
9782,HM119428.1,6412.0
9818,HM119434.1,6408.0
4655,GU220391.1,7737.0
9233,KY432892.1,7251.0
9803,HM119413.1,6305.0
8913,KM085029.1,16133.0
8914,HM474855.1,15867.0
11914,KP266741.1,105811.0
9272,KM020190.1,7144.0
9789,HM119410.1,6411.0
9797,HM119416.2,6409.0
11928,KP266743.1,103876.0
12635,MH378452.1,2394.0
8639,BK014572.1,8907.0
8640,BK014571.1,8904.0
11738,M23385.1,8785.0
4663,KC460987.1,7497.0
12140,KM043107.1,272.0
4521,U31784.1,7916.0
12274,KT013209.1,35555.0
7265,AF171942.1,3011.0
9767,HM119401.1,6418.0
9824,DQ375403.1,6404.0
9778,HM119404.1,6409.0
9779,HM466934.1,6267.0
12601,MF187212.1,2572.0
4523,Y15175.1,7887.0
9777,HM119407.1,6327.0
12651,MF327541.1,2059.0
4515,AB745694.1,7779.0
4669,KC020689.2,7435.0
9717,KJ740148.1,6356.0
4670,JQ692938.1,7531.0
4465,KY549442.1,5225.0
9715,HM745930.1,6368.0
12654,MF327540.1,2053.0
12197,FJ824826.1,35130.0
12595,AB041963.1,2785.0
6586,GU345042.1,6965.0
4490,AF436130.1,7887.0
9063,OM030290.1,11434.0
9716,KT328593.1,6366.0
4493,X62843.1,7880.0
9255,EU627612.1,7174.0
9276,KJ909795.1,7146.0
12563,AB026931.1,2856.0
12723,AJ632320.1,32108.0
4739,GU117634.1,7309.0
9476,AB000851.1,858.0
9475,HE795089.1,834.0
6124,JX185429.1,2236.0
9640,HE795104.1,843.0
9641,HE795107.1,927.0
9631,HE795095.1,851.0
10801,MF352414.1,7665.0
9646,KC510272.1,851.0
9639,HE795092.1,813.0
8626,MF135780.1,8804.0
4668,JX035935.1,7619.0
9647,HE795110.1,860.0
9638,KC355459.1,839.0
9635,HE795101.1,838.0
9621,AY237111.1,754.0
4610,AF531420.1,7461.0
4667,JQ965698.1,7551.0
12152,AY495969.1,35514.0
8661,MN510772.2,13764.0
10925,EF067924.1,7769.0
8660,MW093492.1,13066.0
9801,MT270831.1,6369.0
4776,DQ091200.1,7542.0
6439,JQ610673.1,997.0
4988,KT868811.1,4456.0
10318,KX578271.1,9552.0
4769,KP769769.1,7227.0
9612,KJ867200.1,1061.0
