cluster_id,cluster_size,ictv_lca,ictv_lca_rank,protlen_mean,plddt_mean,ptm_mean,cluster_representative,structure_representative,structure_representative_plddt,top_genbank_name,analysis,annotation,annotation_count,annotation_median_start,annotation_median_stop
766,19,Polydnaviriformidae,Family,167.89,89.96,0.85,CF-AAW51782.1_12727_relaxed,CF-BAF45667.1_12759_relaxed,94.0,Product: viral ankyrin 2,Pfam,Ankyrin repeats (many copies),2,85.5,126.0
767,19,Mononegavirales,Order,728.37,62.02,0.48,CF-QGM12362.2.1.3_8649_relaxed,CF-UOS86047.1.1.2_9191_relaxed,79.1,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,Mononegavirales mRNA-capping region V,19,2.0,138.0
767,19,Mononegavirales,Order,728.37,62.02,0.48,CF-QGM12362.2.1.3_8649_relaxed,CF-UOS86047.1.1.2_9191_relaxed,79.1,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,"Virus-capping methyltransferase, MT domain",14,526.0,713.5
767,19,Mononegavirales,Order,728.37,62.02,0.48,CF-QGM12362.2.1.3_8649_relaxed,CF-UOS86047.1.1.2_9191_relaxed,79.1,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,FtsJ-like methyltransferase,3,550.0,741.0
767,19,Mononegavirales,Order,728.37,62.02,0.48,CF-QGM12362.2.1.3_8649_relaxed,CF-UOS86047.1.1.2_9191_relaxed,79.1,"MRNA capping enzyme, paramyxovirus family; TIGR04198",Pfam,"Virus-capping methyltransferase, connector domain",2,186.0,369.5
768,19,Chordopoxvirinae,Subfamily,190.0,78.75,0.56,CF-ALA62445.1_11988_relaxed,CF-ALA62445.1_11988_relaxed,82.6,Product: RNA polymerase subunit RPO30,Pfam,Transcription factor S-II (TFIIS),19,141.0,179.0
768,19,Chordopoxvirinae,Subfamily,190.0,78.75,0.56,CF-ALA62445.1_11988_relaxed,CF-ALA62445.1_11988_relaxed,82.6,Product: RNA polymerase subunit RPO30,Pfam,Poxvirus DNA dependent RNA polymerase 30kDa subunit,19,6.0,140.0
769,19,Alphabaculovirus,Genus,79.42,56.58,0.12,CF-QNV47808.1_12323_relaxed,CF-QNV47808.1_12323_relaxed,61.8,Product: p6.9,Pfam,-,19,,
770,19,Flaviviridae,Family,196.0,87.08,0.66,CF-AAB71133.1.1.2_7230_relaxed,CF-BAA14233.1.1.6_7115_relaxed,91.5,Hepatitis C virus non-structural protein NS2; pfam01538,Pfam,Hepatitis C virus non-structural protein NS2,19,1.0,195.0
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,RNA helicase,19,506.0,618.0
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,Viral RNA-dependent RNA polymerase,19,1310.0,1721.0
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,Viral polyprotein N-terminal,7,121.0,475.0
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,Southampton virus-type processing peptidase,7,643.0,1176.0
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,Tungro spherical virus-type peptidase,6,1124.0,1289.5
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,Viral genome-linked protein,2,1024.5,1084.0
771,19,Picornavirales,Order,1773.11,67.85,0.49,CF-AII73758.1_10275_relaxed,CF-AAC58807.1_10294_relaxed,72.1,Product: non-structural polyprotein,Pfam,2C endopeptidase (C24) cysteine protease family,2,1151.0,1255.0
772,19,Betaherpesvirinae,Subfamily,289.63,79.43,0.77,CF-AGT99223.1_123_relaxed,CF-AEQ32152.1_102_relaxed,83.6,Gene: UL46; Product: capsid triplex subunit 1,Pfam,Herpesvirus capsid shell protein VP19C,19,44.0,289.0
773,19,Ranavirus,Genus,49.0,67.38,0.34,CF-AAP33228.1_11910_relaxed,CF-AAP33228.1_11910_relaxed,68.4,Product: hypothetical protein,Pfam,-,19,,
774,19,Alphabaculovirus,Genus,248.79,83.14,0.71,CF-ABF50258.1_12327_relaxed,CF-ABF50258.1_12327_relaxed,85.4,Gene: ie-0; Product: IE-0,Pfam,Baculovirus immediate-early protein (IE-0),19,120.0,244.0
775,19,Ranavirus,Genus,507.16,63.8,0.19,EF-AAV91036.1_11938_relaxed,EF-AZY88499.1_11921_relaxed,65.9,Product: unknown,Pfam,SAP domain,19,378.0,412.0
776,19,Alphabaculovirus,Genus,883.26,61.77,0.23,CF-AGR56817.1_12352_relaxed,CF-AHH82646.1_12333_relaxed,68.2,Product: desmoplakin,Pfam,Viral Desmoplakin N-terminus,19,7.0,94.0
777,19,Viruses,Superkingdom,214.95,73.16,0.71,CF-CCV02241.1_11942_relaxed,CF-BAE72311.1_12353_relaxed,78.0,Product: p22.2,Pfam,-,19,,
778,19,Alphabaculovirus,Genus,222.42,73.69,0.59,CF-AAK85681.1_12346_relaxed,CF-AAK85681.1_12346_relaxed,76.9,Product: hypothetical protein; Note: ORF030; p25 (formerly ORF128); 3 probable transmembrane helices predicted by TMHMM,Pfam,-,19,,
779,19,Hepadnaviridae,Family,183.32,83.68,0.72,CF-ANN02850.1_11518_relaxed,CF-CAA26537.1_11524_relaxed,84.6,Core-protein,Pfam,Hepatitis core antigen,46,87.0,144.0
780,19,Orthoherpesviridae,Family,255.0,86.75,0.86,CF-APZ76304.1_122_relaxed,CF-AEM64064.1_96_relaxed,90.3,Gene: UL103; Product: tegument protein UL7,Pfam,Herpesvirus UL7 like,19,19.0,229.0
781,19,Picornavirales,Order,163.47,82.31,0.76,CF-AVM87444.1.1.3_10885_relaxed,CF-AVM87417.1.1.1_10897_relaxed,90.0,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,Picornavirus coat protein,12,12.0,161.0
781,19,Picornavirales,Order,163.47,82.31,0.76,CF-AVM87444.1.1.3_10885_relaxed,CF-AVM87417.1.1.1_10897_relaxed,90.0,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,picornavirus capsid protein,4,30.5,118.0
781,19,Picornavirales,Order,163.47,82.31,0.76,CF-AVM87444.1.1.3_10885_relaxed,CF-AVM87417.1.1.1_10897_relaxed,90.0,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,-,2,,
781,19,Picornavirales,Order,163.47,82.31,0.76,CF-AVM87444.1.1.3_10885_relaxed,CF-AVM87417.1.1.1_10897_relaxed,90.0,"Picornavirus capsid protein domain_like. Picornaviruses are non-enveloped plus-strand ssRNA animal viruses with icosahedral capsids composed of 60 copies each of 4 virus encoded proteins; alignment includes picornaviridae, like poliovirus, hepatitis A...; cd00205",Pfam,CRPV capsid protein like,1,3.0,152.0
782,19,Bornaviridae,Family,141.37,77.36,0.72,CF-AVM87540.1_8628_relaxed,CF-AVM87540.1_8628_relaxed,87.1,Gene: M; Product: matrix protein,Pfam,ssRNA-binding matrix protein of Bornaviridae,18,20.0,122.0
782,19,Bornaviridae,Family,141.37,77.36,0.72,CF-AVM87540.1_8628_relaxed,CF-AVM87540.1_8628_relaxed,87.1,Gene: M; Product: matrix protein,Pfam,-,1,,
783,19,Viruses,Superkingdom,476.37,74.53,0.69,EF-AMB17022.1_69_relaxed,EF-AAC82563.1_11731_relaxed,82.4,Gene: US3; Product: serine/threonine protein kinase US3,Pfam,Protein kinase domain,17,179.0,460.0
783,19,Viruses,Superkingdom,476.37,74.53,0.69,EF-AMB17022.1_69_relaxed,EF-AAC82563.1_11731_relaxed,82.4,Gene: US3; Product: serine/threonine protein kinase US3,Pfam,Protein tyrosine and serine/threonine kinase,2,267.5,515.5
783,19,Viruses,Superkingdom,476.37,74.53,0.69,EF-AMB17022.1_69_relaxed,EF-AAC82563.1_11731_relaxed,82.4,Gene: US3; Product: serine/threonine protein kinase US3,Pfam,SH3 domain,2,86.5,133.5
783,19,Viruses,Superkingdom,476.37,74.53,0.69,EF-AMB17022.1_69_relaxed,EF-AAC82563.1_11731_relaxed,82.4,Gene: US3; Product: serine/threonine protein kinase US3,Pfam,SH2 domain,2,147.5,229.5
784,19,Parvovirinae,Subfamily,589.26,81.88,0.55,CF-AKM49963.1_4968_relaxed,CF-AAL09671.1_4948_relaxed,89.2,Product: nonstructural protein,Pfam,Parvovirus non-structural protein NS1,19,214.0,477.0
784,19,Parvovirinae,Subfamily,589.26,81.88,0.55,CF-AKM49963.1_4968_relaxed,CF-AAL09671.1_4948_relaxed,89.2,Product: nonstructural protein,Pfam,Rep protein catalytic domain like,16,4.5,188.0
785,19,Alphaherpesvirinae,Subfamily,635.26,51.52,0.24,EF-AFR32439.1_65_relaxed,EF-QBM10902.1_81_relaxed,60.7,Gene: RL2; Product: ubiquitin E3 ligase ICP0,Pfam,Ring finger domain,16,76.5,118.0
785,19,Alphaherpesvirinae,Subfamily,635.26,51.52,0.24,EF-AFR32439.1_65_relaxed,EF-QBM10902.1_81_relaxed,60.7,Gene: RL2; Product: ubiquitin E3 ligase ICP0,Pfam,"Zinc finger, C3HC4 type (RING finger)",3,71.0,111.0
786,19,Ranavirus,Genus,124.26,70.05,0.51,CF-ANK58109.1_11931_relaxed,CF-ANK58109.1_11931_relaxed,74.8,Product: hypothetical protein,Pfam,-,19,,
787,19,Mastadenovirus,Genus,222.74,61.75,0.38,CF-AIT70987.1_12283_relaxed,CF-ACR81614.1_12191_relaxed,70.2,Gene: L4; Product: 33 kDa protein,Pfam,Adenovirus L4-33K/L4-22K,23,7.0,219.0
788,19,Adenoviridae,Family,525.63,66.18,0.38,CF-AXI68653.1_12255_relaxed,CF-ADP30817.1_12295_relaxed,69.0,Product: pIIIa,Pfam,Hexon-associated protein (IIIa),19,51.0,410.0
789,19,Alphacoronavirus,Genus,75.84,86.41,0.49,CF-ABG47080.1_10173_relaxed,CF-ABG47080.1_10173_relaxed,88.8,Gene: E; Product: envelope protein,Pfam,Coronavirus small envelope protein E,19,2.0,75.0
790,19,Viruses,Superkingdom,981.74,64.75,0.41,CF-AIM40343.1_11777_relaxed,CF-BAU59306.1_11780_relaxed,69.0,Gene: env; Product: env protein,Pfam,Foamy virus envelope protein,18,5.0,985.5
790,19,Viruses,Superkingdom,981.74,64.75,0.41,CF-AIM40343.1_11777_relaxed,CF-BAU59306.1_11780_relaxed,69.0,Gene: env; Product: env protein,Pfam,-,1,,
791,19,Chordopoxvirinae,Subfamily,138.89,83.67,0.72,CF-CAC21252.1_12027_relaxed,CF-AAR98359.1_12017_relaxed,91.5,Product: IL-18 binding protein,Pfam,-,12,,
791,19,Chordopoxvirinae,Subfamily,138.89,83.67,0.72,CF-CAC21252.1_12027_relaxed,CF-AAR98359.1_12017_relaxed,91.5,Product: IL-18 binding protein,Pfam,Yaba-Like Disease Virus IL18BP,7,27.0,129.0
792,19,Orthoherpesviridae,Family,245.84,83.42,0.77,CF-AAC13807.2_146_relaxed,EF-QDQ69228.1_156_relaxed,88.8,Product: unknown; Note: ORF 20; conserved in other herpesviruses,Pfam,Herpes virus proteins UL24 and UL76,19,14.0,185.0
793,19,Orthoherpesviridae,Family,202.74,72.42,0.65,CF-QEG54102.1_48_relaxed,CF-QFU14598.1_51_relaxed,76.2,Gene: UL4; Product: nuclear protein UL4,Pfam,Herpesvirus UL4 family,18,6.0,188.0
793,19,Orthoherpesviridae,Family,202.74,72.42,0.65,CF-QEG54102.1_48_relaxed,CF-QFU14598.1_51_relaxed,76.2,Gene: UL4; Product: nuclear protein UL4,Pfam,HSV U79 / HCMV P34,1,11.0,142.0
794,19,Cosavirus,Genus,301.0,77.71,0.6,CF-AFJ04542.1_10409_relaxed,CF-AFJ04542.1_10409_relaxed,81.0,Product: capsid protein VP1,Pfam,Picornavirus coat protein,19,88.0,299.0
794,19,Cosavirus,Genus,301.0,77.71,0.6,CF-AFJ04542.1_10409_relaxed,CF-AFJ04542.1_10409_relaxed,81.0,Product: capsid protein VP1,Pfam,picornavirus capsid protein,2,1.0,39.0
795,19,Alphabaculovirus,Genus,169.16,71.23,0.46,CF-ACI28848.1_12316_relaxed,CF-AIE47853.1_12371_relaxed,74.0,Product: LEF-6,Pfam,-,19,,
796,19,Ranavirus,Genus,106.37,60.31,0.28,CF-ANZ57199.1_11933_relaxed,CF-ANZ57199.1_11933_relaxed,63.5,Product: hypothetical protein,Pfam,-,19,,
797,19,Betabaculovirus,Genus,228.53,84.83,0.79,CF-AER41463.1_12398_relaxed,CF-AAG27326.1_12409_relaxed,89.3,Product: hypothetical protein; Note: Orf37; similar to CpGV Orf33,Pfam,-,19,,
798,18,Alphabaculovirus,Genus,676.78,67.03,0.39,CF-AJD09212.1_12341_relaxed,CF-AGA16255.1_12381_relaxed,74.1,Product: p87,Pfam,Nucleopolyhedrovirus capsid protein P87,24,1.0,658.0
798,18,Alphabaculovirus,Genus,676.78,67.03,0.39,CF-AJD09212.1_12341_relaxed,CF-AGA16255.1_12381_relaxed,74.1,Product: p87,Pfam,-,1,,
799,18,Alphabaculovirus,Genus,272.22,81.32,0.38,CF-ABY65802.1_12367_relaxed,CF-AOT85538.1_12343_relaxed,85.5,Product: cg30,Pfam,"Zinc finger, C3HC4 type (RING finger)",11,8.0,62.0
799,18,Alphabaculovirus,Genus,272.22,81.32,0.38,CF-ABY65802.1_12367_relaxed,CF-AOT85538.1_12343_relaxed,85.5,Product: cg30,Pfam,-,7,,
800,18,Baculoviridae,Family,152.94,83.26,0.65,CF-ABY65752.1_12367_relaxed,CF-QNV47810.1_12323_relaxed,91.4,Product: ORF56,Pfam,-,11,,
800,18,Baculoviridae,Family,152.94,83.26,0.65,CF-ABY65752.1_12367_relaxed,CF-QNV47810.1_12323_relaxed,91.4,Product: ORF56,Pfam,Chitin binding Peritrophin-A domain,7,92.0,137.0
801,18,Betabaculovirus,Genus,330.5,65.47,0.35,EF-AAG27319.1_12409_relaxed,EF-AAG27319.1_12409_relaxed,70.5,Product: pep/p10,Pfam,"Baculovirus polyhedron envelope protein, PEP, N terminus",18,11.0,110.0
801,18,Betabaculovirus,Genus,330.5,65.47,0.35,EF-AAG27319.1_12409_relaxed,EF-AAG27319.1_12409_relaxed,70.5,Product: pep/p10,Pfam,"Baculovirus polyhedron envelope protein, PEP, C terminus",15,160.0,280.0
802,18,Alphabaculovirus,Genus,114.39,85.93,0.77,CF-AXS67777.1_12342_relaxed,CF-AIZ48600.1_12318_relaxed,91.7,Product: ac19-like protein,Pfam,Protein of unknown function (DUF1477),18,8.0,109.5
803,18,Viruses,Superkingdom,595.17,75.44,0.66,CF-CAL44634.1_11894_relaxed,CF-ABY47744.1_12401_relaxed,85.5,Product: hr1,Pfam,Putative transposase DNA-binding domain,17,504.0,565.0
803,18,Viruses,Superkingdom,595.17,75.44,0.66,CF-CAL44634.1_11894_relaxed,CF-ABY47744.1_12401_relaxed,85.5,Product: hr1,Pfam,-,1,,
804,18,Orthornavirae,Kingdom,637.61,86.04,0.85,CF-QBP05470.1.1.2_9292_relaxed,CF-WBM84615.1.1.1_9694_relaxed,90.6,Bunyavirus RNA dependent RNA polymerase; pfam04196,Pfam,Bunyavirus RNA dependent RNA polymerase,17,264.0,634.0
804,18,Orthornavirae,Kingdom,637.61,86.04,0.85,CF-QBP05470.1.1.2_9292_relaxed,CF-WBM84615.1.1.1_9694_relaxed,90.6,Bunyavirus RNA dependent RNA polymerase; pfam04196,Pfam,Reovirus RNA-dependent RNA polymerase lambda 3,1,1.0,661.0
804,18,Orthornavirae,Kingdom,637.61,86.04,0.85,CF-QBP05470.1.1.2_9292_relaxed,CF-WBM84615.1.1.1_9694_relaxed,90.6,Bunyavirus RNA dependent RNA polymerase; pfam04196,Pfam,Influenza RNA-dependent RNA polymerase subunit PB1,1,265.0,508.0
805,18,Alphabaculovirus,Genus,158.5,88.57,0.86,CF-ABL75999.1_12363_relaxed,CF-ABL75999.1_12363_relaxed,91.1,Product: Mv-ORF47 peptide,Pfam,Family of unknown function (DUF5505),15,1.0,154.0
805,18,Alphabaculovirus,Genus,158.5,88.57,0.86,CF-ABL75999.1_12363_relaxed,CF-ABL75999.1_12363_relaxed,91.1,Product: Mv-ORF47 peptide,Pfam,-,3,,
806,18,Gammaherpesvirinae,Subfamily,289.28,61.25,0.47,CF-AJG42953.1_150_relaxed,CF-CAA45650.1_165_relaxed,68.1,Product: ORF27,Pfam,-,18,,
807,18,Nodaviridae,Family,990.11,80.09,0.58,CF-AAF71691.1_7265_relaxed,CF-ACF36168.1_7266_relaxed,80.9,Product: protein A,Pfam,Nodavirus Vmethyltransferase,18,68.0,212.0
807,18,Nodaviridae,Family,990.11,80.09,0.58,CF-AAF71691.1_7265_relaxed,CF-ACF36168.1_7266_relaxed,80.9,Product: protein A,Pfam,Viral RNA-dependent RNA polymerase,12,567.0,739.5
808,18,Orthoherpesviridae,Family,324.72,80.2,0.83,CF-ADW24395.1_157_relaxed,CF-ALL26041.1_80_relaxed,88.1,Gene: UL50; Product: deoxyuridine triphosphatase,Pfam,dUTPase,18,166.5,265.0
809,18,Adenoviridae,Family,174.0,67.33,0.44,CF-AIA22361.1_12260_relaxed,CF-SMG83453.1_12143_relaxed,71.3,Product: 33K,Pfam,Adenovirus L4-33K/L4-22K,15,56.0,163.0
809,18,Adenoviridae,Family,174.0,67.33,0.44,CF-AIA22361.1_12260_relaxed,CF-SMG83453.1_12143_relaxed,71.3,Product: 33K,Pfam,-,3,,
810,18,Iridoviridae,Family,511.28,84.19,0.81,CF-ATE87103.1_11947_relaxed,CF-AOC55236.1_11899_relaxed,90.9,Product: serine/threonine protein kinase,Pfam,2-cysteine adaptor domain,15,7.0,45.0
810,18,Iridoviridae,Family,511.28,84.19,0.81,CF-ATE87103.1_11947_relaxed,CF-AOC55236.1_11899_relaxed,90.9,Product: serine/threonine protein kinase,Pfam,Protein kinase domain,10,162.5,323.5
811,18,Circoviridae,Family,260.0,72.87,0.69,CF-AGI42839.1_5032_relaxed,CF-AKC88563.1_5086_relaxed,80.4,Product: capsid protein,Pfam,Circovirus capsid protein,20,8.0,240.5
811,18,Circoviridae,Family,260.0,72.87,0.69,CF-AGI42839.1_5032_relaxed,CF-AKC88563.1_5086_relaxed,80.4,Product: capsid protein,Pfam,-,1,,
812,18,Alphabaculovirus,Genus,167.78,65.14,0.39,CF-AVA31176.1_12369_relaxed,CF-AAQ91729.1_12319_relaxed,67.3,Product: hypothetical protein; Note: ORF103; ac59-like (formerly ORF59); 2 probable transmembrane helices predicted by TMHMM,Pfam,ChaB,18,9.0,63.0
813,18,Alphabaculovirus,Genus,186.11,89.3,0.86,CF-ABM45828.1_12379_relaxed,CF-AIZ48683.1_12318_relaxed,93.6,Product: unknown protein; Note: sf118; similar to se117,Pfam,-,18,,
814,18,Orthoherpesviridae,Family,541.39,67.53,0.59,CF-AAK57136.1_117_relaxed,CF-AEM64026.1_96_relaxed,79.9,Gene: UL93; Product: DNA packaging tegument protein UL17,Pfam,Herpesvirus UL17 protein,19,1.0,498.0
815,18,Alphabaculovirus,Genus,239.83,89.53,0.79,CF-AYN45086.1_12324_relaxed,CF-AYN45086.1_12324_relaxed,92.9,Product: ie-0,Pfam,Baculovirus immediate-early protein (IE-0),18,97.5,234.0
816,18,Alphaherpesvirinae,Subfamily,296.22,73.94,0.7,CF-ADO13832.1_76_relaxed,CF-AFV26951.1_72_relaxed,78.6,Gene: US2; Product: virion protein US2,Pfam,US2 family,18,111.0,247.5
817,18,Picornaviridae,Family,161.56,86.75,0.79,CF-AVM87416.1.1.1_10919_relaxed,CF-ALL35265.1.1.1_10840_relaxed,90.4,Picornavirus capsid protein; pfam00073,Pfam,picornavirus capsid protein,18,4.0,164.0
818,18,Mastadenovirus,Genus,67.61,66.15,0.28,CF-AP_000012.1_12247_relaxed,CF-AP_000012.1_12247_relaxed,70.3,Product: pX,Pfam,Adenovirus late L2 mu core protein (Protein X),18,31.0,67.0
819,18,Alphabaculovirus,Genus,69.72,86.95,0.65,CF-AGR57150.1_12337_relaxed,CF-ACQ57211.1_12332_relaxed,91.9,Product: hypothetical protein; Note: ORF125; ac29-like (formerly ORF38); 1 probable transmembrane helix predicted by TMHMM,Pfam,Nucleopolyhedrovirus protein of unknown function (DUF919),18,10.0,69.0
820,18,Betabaculovirus,Genus,181.06,72.14,0.59,CF-AAM70217.1_12407_relaxed,CF-AAM70217.1_12407_relaxed,82.1,Product: pep-1,Pfam,"Baculovirus polyhedron envelope protein, PEP, N terminus",18,16.0,90.5
821,18,Chordopoxvirinae,Subfamily,183.44,84.94,0.8,CF-AXN74938.1_12005_relaxed,CF-ADT91141.1_12016_relaxed,90.3,Product: holliday junction resolvase,Pfam,Poxvirus A22 protein,18,24.0,167.0
822,18,Alphabaculovirus,Genus,216.33,85.38,0.77,CF-AAK85673.1_12346_relaxed,CF-ALR71572.1_12326_relaxed,88.1,Product: late expression factor 7,Pfam,-,18,,
823,18,Nucleocytoviricota,Phylum,429.78,86.19,0.49,CF-BAO49610.1_12030_relaxed,CF-CCU56190.1_12045_relaxed,88.7,Product: N1R/p28-like protein,Pfam,MSV199 domain,18,5.0,152.5
823,18,Nucleocytoviricota,Phylum,429.78,86.19,0.49,CF-BAO49610.1_12030_relaxed,CF-CCU56190.1_12045_relaxed,88.7,Product: N1R/p28-like protein,Pfam,T5orf172 domain,13,228.0,317.0
823,18,Nucleocytoviricota,Phylum,429.78,86.19,0.49,CF-BAO49610.1_12030_relaxed,CF-CCU56190.1_12045_relaxed,88.7,Product: N1R/p28-like protein,Pfam,Poxvirus D5 protein-like,6,328.0,390.0
824,18,Alphabaculovirus,Genus,53.0,80.26,0.46,CF-AKN80601.1_12370_relaxed,CF-AKN80601.1_12370_relaxed,82.0,Product: conotoxin-like protein,Pfam,Conotoxin O-superfamily,18,23.0,53.0
825,18,Betabaculovirus,Genus,168.67,83.09,0.58,CF-AAP85697.1_12386_relaxed,CF-AAP85697.1_12386_relaxed,91.8,Product: p24,Pfam,Baculovirus P24 capsid protein,18,3.0,152.5
826,18,Mastadenovirus,Genus,126.33,86.42,0.79,CF-BBE29326.1_12134_relaxed,CF-AEP16435.1_12144_relaxed,90.3,Product: E4-ORFC,Pfam,-,18,,
827,18,Alphabaculovirus,Genus,98.94,88.92,0.81,CF-AKC91660.1_12355_relaxed,CF-AAZ38217.1_12317_relaxed,96.0,Product: ac117,Pfam,Protein of unknown function (DUF1623),18,3.0,94.0
828,18,Chordopoxvirinae,Subfamily,192.17,80.49,0.48,EF-ASC55615.1_12018_relaxed,EF-ASC55615.1_12018_relaxed,83.9,Product: dsRNA-binding protein,Pfam,Double-stranded RNA binding motif,18,118.0,182.0
828,18,Chordopoxvirinae,Subfamily,192.17,80.49,0.48,EF-ASC55615.1_12018_relaxed,EF-ASC55615.1_12018_relaxed,83.9,Product: dsRNA-binding protein,Pfam,Adenosine deaminase z-alpha domain,18,7.0,71.0
829,18,Alphaherpesvirinae,Subfamily,370.17,77.69,0.81,CF-AFR32495.1_65_relaxed,CF-ADO13778.1_76_relaxed,83.4,Gene: UL50; Product: deoxyuridine triphosphatase,Pfam,dUTPase,18,204.0,306.5
830,18,Alphaherpesvirinae,Subfamily,607.89,74.46,0.75,CF-AQS79204.1_60_relaxed,CF-AFR32453.1_65_relaxed,77.7,Gene: UL12; Product: deoxyribonuclease,Pfam,Viral alkaline exonuclease,18,186.0,599.5
831,18,Gammaherpesvirinae,Subfamily,209.83,60.32,0.49,CF-CAA45679.1_165_relaxed,CF-ABD28906.1_158_relaxed,64.9,Gene: ORF55; Product: tegument protein UL51,Pfam,Herpes virus U44 protein,18,1.0,182.5
832,18,Alphabaculovirus,Genus,204.94,81.31,0.49,CF-ABF47466.1_12340_relaxed,CF-AWW14496.1_12354_relaxed,88.0,Product: ORF28,Pfam,-,11,,
832,18,Alphabaculovirus,Genus,204.94,81.31,0.49,CF-ABF47466.1_12340_relaxed,CF-AWW14496.1_12354_relaxed,88.0,Product: ORF28,Pfam,Virus envelope protein E26,7,1.0,225.0
833,18,Entomopoxvirinae,Subfamily,498.22,87.71,0.85,CF-CCU56189.1_12045_relaxed,CF-CCU56189.1_12045_relaxed,92.0,Product: leucine rich repeat gene family,Pfam,-,11,,
833,18,Entomopoxvirinae,Subfamily,498.22,87.71,0.85,CF-CCU56189.1_12045_relaxed,CF-CCU56189.1_12045_relaxed,92.0,Product: leucine rich repeat gene family,Pfam,Leucine Rich repeats (2 copies),11,226.0,265.0
834,18,Alphabaculovirus,Genus,135.06,86.39,0.81,CF-AJD80807.1_12338_relaxed,CF-ACI28753.1_12316_relaxed,89.8,Gene: ORF-117; Product: hypothetical protein; Note: similar to Chch123,Pfam,-,18,,
835,18,Betaherpesvirinae,Subfamily,123.06,89.1,0.52,CF-AFK83933.1_116_relaxed,CF-AAD49669.1_119_relaxed,92.2,Gene: UL96; Product: tegument protein UL14,Pfam,Protein of unknown function (DUF2664),17,13.0,100.0
835,18,Betaherpesvirinae,Subfamily,123.06,89.1,0.52,CF-AFK83933.1_116_relaxed,CF-AAD49669.1_119_relaxed,92.2,Gene: UL96; Product: tegument protein UL14,Pfam,-,1,,
836,18,Chordopoxvirinae,Subfamily,302.56,89.03,0.77,CF-AOP31591.1_12011_relaxed,CF-ASK51291.1_12026_relaxed,91.9,Product: IMV membrane protein,Pfam,Eukaryotic-type carbonic anhydrase,18,5.0,227.0
837,18,Rhinovirus B,Species,23.0,73.71,0.13,CF-AAA45756.1.9_10717_relaxed,CF-AAA45756.1.9_10717_relaxed,75.8,3B,Pfam,-,18,,
838,17,Alphabaculovirus,Genus,230.88,78.06,0.71,CF-QEI03675.1_12372_relaxed,CF-QEI03675.1_12372_relaxed,82.1,Product: hypothetical protein; Note: RanuNPV-ORF-75; ac81-like,Pfam,Baculoviridae AC81,17,37.0,212.0
839,17,Viruses,Superkingdom,295.29,75.35,0.79,CF-CCU55876.1_12041_relaxed,CF-CCU55558.1_12038_relaxed,80.1,Product: p35 apoptosis inhibitor,Pfam,Apoptosis preventing protein,15,1.0,294.0
839,17,Viruses,Superkingdom,295.29,75.35,0.79,CF-CCU55876.1_12041_relaxed,CF-CCU55558.1_12038_relaxed,80.1,Product: p35 apoptosis inhibitor,Pfam,-,2,,
840,17,Infectious spleen and kidney necrosis virus,Species,288.06,55.52,0.42,EF-ADE34388.1_11905_relaxed,EF-ADE34388.1_11905_relaxed,63.8,Product: ORF044L,Pfam,-,17,,
841,17,Human mastadenovirus D,Species,65.0,67.41,0.37,CF-AFK92705.1_12206_relaxed,CF-AFK92705.1_12206_relaxed,70.2,Gene: E3; Product: Orf1 7.4 kDa protein,Pfam,-,17,,
842,17,Ranavirus,Genus,218.94,44.49,0.31,CF-AAS18137.1_11937_relaxed,CF-ACF42303.1_11925_relaxed,51.9,Product: hypothetical protein,Pfam,-,17,,
