header,protein_id,Sort,pept_cat,protlen
AKR17511.1_12405,AKR17511.1,12405,protein,108
ANF29712.1_12334,ANF29712.1,12334,protein,108
AJZ77170.1_11968,AJZ77170.1,11968,protein,108
AFD21888.1_12272,AFD21888.1,12272,protein,108
AAC59107.1_12368,AAC59107.1,12368,protein,108
AUO14991.1_12445,AUO14991.1,12445,protein,108
AGK27110.1_12273,AGK27110.1,12273,protein,108
BAC67356.1_12315,BAC67356.1,12315,protein,108
AMM72789.1_11903,AMM72789.1,11903,protein,108
APZ76217.1_122,APZ76217.1,122,protein,108
AUO15131.1_12445,AUO15131.1,12445,protein,108
ATE87120.1_11947,ATE87120.1,11947,protein,108
AAC55185.1_12002,AAC55185.1,12002,protein,108
CAG17420.1_12723,CAG17420.1,12723,protein,108
AWW14405.1_12354,AWW14405.1,12354,protein,108
ACT88323.1_92,ACT88323.1,92,protein,108
ALM55129.1_12274,ALM55129.1,12274,protein,108
AAA70238.1_10207,AAA70238.1,10207,protein,108
ACD03534.1_12419,ACD03534.1,12419,protein,108
CAA44659.1_4494,CAA44659.1,4494,protein,108
AAW51771.1_12727,AAW51771.1,12727,protein,108
AGI62334.1_9335,AGI62334.1,9335,protein,108
AHA93292.1_58,AHA93292.1,58,protein,108
APY28371.1_12117,APY28371.1,12117,protein,108
AFV53385.1_77,AFV53385.1,77,protein,108
ASQ42834.1_11916,ASQ42834.1,11916,protein,108
ANZ56959.1_11915,ANZ56959.1,11915,protein,108
AOO54440.1_11976,AOO54440.1,11976,protein,108
AUO15176.1_12445,AUO15176.1,12445,protein,108
AAL06739.1_4527,AAL06739.1,4527,protein,108
AAK82126.1_11950,AAK82126.1,11950,protein,108
AAF15033.1_11997,AAF15033.1,11997,protein,108
DAC81321.1_12065,DAC81321.1,12065,protein,108
AQN78586.1_12422,AQN78586.1,12422,protein,108
AEF59059.1_12282,AEF59059.1,12282,protein,108
AIZ48600.1_12318,AIZ48600.1,12318,protein,108
AFX59662.1_12437,AFX59662.1,12437,protein,108
APZ76315.1_122,APZ76315.1,122,protein,108
AXU41646.1_12374,AXU41646.1,12374,protein,108
ADD14049.1_4533,ADD14049.1,4533,protein,108
AMB43042.1_12128,AMB43042.1,12128,protein,108
AXU41466.1_12322,AXU41466.1,12322,protein,108
AAR98322.1_12019,AAR98322.1,12019,protein,108
AAR28785.1_12356,AAR28785.1,12356,protein,108
QBQ01584.1_12402,QBQ01584.1,12402,protein,108
AAQ96444.1_12417,AAQ96444.1,12417,protein,108
ATU83614.1_12444,ATU83614.1,12444,protein,108
AAT00119.1_159,AAT00119.1,159,protein,108
AAO89348.1_12013,AAO89348.1,12013,protein,108
AIY22466.1_11964,AIY22466.1,11964,protein,108
ABD97638.1_12012,ABD97638.1,12012,protein,108
CAA27884.1_93,CAA27884.1,93,protein,108
AHH82691.1_12333,AHH82691.1,12333,protein,108
AWU47055.1_12003,AWU47055.1,12003,protein,108
ADO00350.1_11945,ADO00350.1,11945,protein,108
BAF45494.1_12760,BAF45494.1,12760,protein,108
AWU47162.1_12003,AWU47162.1,12003,protein,108
ABE68405.1_12330,ABE68405.1,12330,protein,108
AAK57118.1_117,AAK57118.1,117,protein,108
AOO54483.1_11976,AOO54483.1,11976,protein,108
AGA16267.1_12381,AGA16267.1,12381,protein,108
AKO62798.1_11962,AKO62798.1,11962,protein,108
AEI17646.1_8915,AEI17646.1,8915,protein,108
CAN10466.1_11963,CAN10466.1,11963,protein,108
AAA65346.1_11957,AAA65346.1,11957,protein,108
ATI21023.1_12001,ATI21023.1,12001,protein,108
AFK83939.1_116,AFK83939.1,116,protein,108
ACO53502.1_12348,ACO53502.1,12348,protein,108
AUO15043.1_12445,AUO15043.1,12445,protein,108
BAF45683.1_12759,BAF45683.1,12759,protein,108
AAO89407.1_12013,AAO89407.1,12013,protein,108
AFX59564.1_12437,AFX59564.1,12437,protein,108
ADW41704.1_4513,ADW41704.1,4513,protein,108
AAM13524.1_12007,AAM13524.1,12007,protein,108
ATU83615.1_12444,ATU83615.1,12444,protein,108
AAK81994.1_11950,AAK81994.1,11950,protein,108
ACO53520.1_12348,ACO53520.1,12348,protein,108
ASA48762.1_12645,ASA48762.1,12645,protein,108
AMB43168.1_12127,AMB43168.1,12127,protein,108
APZ76308.1_122,APZ76308.1,122,protein,108
AAK94112.1_12414,AAK94112.1,12414,protein,108
AKR04163.1_12023,AKR04163.1,12023,protein,108
CBH29217.1_11958,CBH29217.1,11958,protein,108
AIY22308.1_11959,AIY22308.1,11959,protein,108
AKN63303.1_12387,AKN63303.1,12387,protein,108
ADZ39850.1_12268,ADZ39850.1,12268,protein,108
ALM25956.1_113,ALM25956.1,113,protein,108
AGO14361.1_12729,AGO14361.1,12729,protein,108
ALE30300.1_12270,ALE30300.1,12270,protein,108
CDS63389.1_6266,CDS63389.1,6266,protein,108
BBF72840.1_12132,BBF72840.1,12132,protein,108
ABI99195.1_11994,ABI99195.1,11994,protein,108
AAL33191.1_12434,AAL33191.1,12434,protein,108
AQQ80333.1_12389,AQQ80333.1,12389,protein,108
AAA66855.1_4627,AAA66855.1,4627,protein,108
ACJ12065.1_10201,ACJ12065.1,10201,protein,108
CAD2068479.1_11961,CAD2068479.1,11961,protein,108
AEQ32271.1_102,AEQ32271.1,102,protein,108
ATA58230.1_145,ATA58230.1,145,protein,108
ARR28922.1_35,ARR28922.1,35,protein,108
CCU55891.1_12041,CCU55891.1,12041,protein,108
AHD25618.1_12336,AHD25618.1,12336,protein,108
AAQ99047.1_12416,AAQ99047.1,12416,protein,108
AAS47820.1_11898,AAS47820.1,11898,protein,108
ASA40359.1_12441,ASA40359.1,12441,protein,108
ALE30405.1_12279,ALE30405.1,12279,protein,108
AKS25371.1_12388,AKS25371.1,12388,protein,108
AGR57110.1_12337,AGR57110.1,12337,protein,108
AYN64636.1_12004,AYN64636.1,12004,protein,108
AST09393.1_11992,AST09393.1,11992,protein,108
ADD10501.1_108,ADD10501.1,108,protein,108
AAK70760.1_12396,AAK70760.1,12396,protein,108
CAN10217.1_11960,CAN10217.1,11960,protein,108
AKJ93697.1_12010,AKJ93697.1,12010,protein,108
AAL89110.1_12435,AAL89110.1,12435,protein,108
AOT85478.1_12343,AOT85478.1,12343,protein,108
BAF45564.1_12760,BAF45564.1,12760,protein,108
AGT51065.1_6433,AGT51065.1,6433,protein,108
AFX83375.1_110,AFX83375.1,110,protein,108
AUD40320.1_11978,AUD40320.1,11978,protein,108
AAF18024.1_11998,AAF18024.1,11998,protein,108
CAL44680.1_11894,CAL44680.1,11894,protein,108
AXN74861.1_12005,AXN74861.1,12005,protein,108
AAL33289.1_12434,AAL33289.1,12434,protein,108
AAK94128.1_12414,AAK94128.1,12414,protein,108
ANN02852.1_11518,ANN02852.1,11518,protein,108
ATU83613.1_12444,ATU83613.1,12444,protein,108
AKS25427.1_12388,AKS25427.1,12388,protein,108
BAF45572.1_12760,BAF45572.1,12760,protein,108
QOE74393.1_112,QOE74393.1,112,protein,108
AAF99117.1_109,AAF99117.1,109,protein,108
AOP31546.1_12011,AOP31546.1,12011,protein,108
AKJ93757.1_12010,AKJ93757.1,12010,protein,108
BAF45570.1_12760,BAF45570.1,12760,protein,108
ATU83612.1_12444,ATU83612.1,12444,protein,108
AYN64755.1_12004,AYN64755.1,12004,protein,108
AAL89209.1_12435,AAL89209.1,12435,protein,108
AKN63355.1_12387,AKN63355.1,12387,protein,108
ADC54000.1_12020,ADC54000.1,12020,protein,108
ABV27561.1_4637,ABV27561.1,4637,protein,108
ADQ39300.1_4613,ADQ39300.1,4613,protein,108
CAA48995.1_12014,CAA48995.1,12014,protein,108
ABF65769.1_12327,ABF65769.1,12327,protein,108
ADZ39882.1_12271,ADZ39882.1,12271,protein,108
AAC97647.1_12053,AAC97647.1,12053,protein,108
AAM92357.1_12008,AAM92357.1,12008,protein,108
AAK57145.1_117,AAK57145.1,117,protein,109
ATU83607.1_12444,ATU83607.1,12444,protein,109
CCU56287.1_12049,CCU56287.1,12049,protein,109
AKR17479.1_12405,AKR17479.1,12405,protein,109
APZ76267.1_122,APZ76267.1,122,protein,109
ADG86354.1_9059,ADG86354.1,9059,protein,109
ADE34362.1_11905,ADE34362.1,11905,protein,109
ALR71619.1_12326,ALR71619.1,12326,protein,109
ATU83606.1_12444,ATU83606.1,12444,protein,109
DAC80299.1_12066,DAC80299.1,12066,protein,109
AFX59682.1_12437,AFX59682.1,12437,protein,109
BAA93608.1_12585,BAA93608.1,12585,protein,109
AUD40251.1_11978,AUD40251.1,11978,protein,109
AFJ52415.1_11920,AFJ52415.1,11920,protein,109
CCU55970.1_12045,CCU55970.1,12045,protein,109
AAK70700.1_12396,AAK70700.1,12396,protein,109
CCD83184.1_12024,CCD83184.1,12024,protein,109
ACO53570.1_12348,ACO53570.1,12348,protein,109
BAF45653.1_12759,BAF45653.1,12759,protein,109
AAN28124.1_12373,AAN28124.1,12373,protein,109
AKV63208.1_10208,AKV63208.1,10208,protein,109
CCU55995.1_12045,CCU55995.1,12045,protein,109
AAN04417.1_12427,AAN04417.1,12427,protein,109
AAR83419.1_11977,AAR83419.1,11977,protein,109
QDL56988.1_12344,QDL56988.1,12344,protein,109
CAA25022.1_4489,CAA25022.1,4489,protein,109
AAA66708.1_12329,AAA66708.1,12329,protein,109
AIE47838.1_12371,AIE47838.1,12371,protein,109
AAT84634.1_12261,AAT84634.1,12261,protein,109
AKG51572.1_106,AKG51572.1,106,protein,109
AEB00357.1_12392,AEB00357.1,12392,protein,109
AIK20571.1_12150,AIK20571.1,12150,protein,109
AAU10944.1_11898,AAU10944.1,11898,protein,109
QBQ01667.1_12402,QBQ01667.1,12402,protein,109
AIS92076.1_12399,AIS92076.1,12399,protein,109
QNV47861.1_12323,QNV47861.1,12323,protein,109
ACZ63555.1_12390,ACZ63555.1,12390,protein,109
ANK58094.1_11931,ANK58094.1,11931,protein,109
CBL51708.1_12736,CBL51708.1,12736,protein,109
AAP50728.1_101,AAP50728.1,101,protein,109
AVT50612.1_85,AVT50612.1,85,protein,109
AAG02794.1_12039,AAG02794.1,12039,protein,109
CCV02516.1_11949,CCV02516.1,11949,protein,109
AWW14473.1_12354,AWW14473.1,12354,protein,109
ADD73820.1_12359,ADD73820.1,12359,protein,109
AAL89229.1_12435,AAL89229.1,12435,protein,109
AFX59845.1_12437,AFX59845.1,12437,protein,109
BAO49569.1_12030,BAO49569.1,12030,protein,109
AYN44993.1_12324,AYN44993.1,12324,protein,109
ALE30371.1_12278,ALE30371.1,12278,protein,109
UJZ88985.1_12347,UJZ88985.1,12347,protein,109
BAP00714.1_74,BAP00714.1,74,protein,109
AGT99239.1_123,AGT99239.1,123,protein,109
ACE75506.1_12729,ACE75506.1,12729,protein,109
AJR28369.1_8900,AJR28369.1,8900,protein,109
AAV91092.1_11938,AAV91092.1,11938,protein,109
ALA62414.1_11988,ALA62414.1,11988,protein,109
AAL33307.1_12434,AAL33307.1,12434,protein,109
AAL89398.1_12435,AAL89398.1,12435,protein,109
ADD10493.1_108,ADD10493.1,108,protein,109
AHD25541.1_12336,AHD25541.1,12336,protein,109
ABE68390.1_12330,ABE68390.1,12330,protein,109
AGQ20330.1_12393,AGQ20330.1,12393,protein,109
AEQ32327.1_102,AEQ32327.1,102,protein,109
ABA61875.1_4761,ABA61875.1,4761,protein,109
AJR28379.1_8901,AJR28379.1,8901,protein,109
AIX03691.1_12434,AIX03691.1,12434,protein,109
AEQ32312.1_102,AEQ32312.1,102,protein,109
AJG05825.1_9060,AJG05825.1,9060,protein,109
AAO89286.1_12013,AAO89286.1,12013,protein,109
AAK70744.1_12396,AAK70744.1,12396,protein,109
AID46573.1_11983,AID46573.1,11983,protein,109
CCU55929.1_12045,CCU55929.1,12045,protein,109
AAX86630.1_4760,AAX86630.1,4760,protein,109
ACH69521.1_12406,ACH69521.1,12406,protein,109
CCV02286.1_11942,CCV02286.1,11942,protein,109
AAC97710.1_12053,AAC97710.1,12053,protein,109
AFX59380.1_12437,AFX59380.1,12437,protein,109
AGR56857.1_12352,AGR56857.1,12352,protein,109
BAG74655.1_12351,BAG74655.1,12351,protein,109
AGK27185.1_12277,AGK27185.1,12277,protein,109
ARR28863.1_35,ARR28863.1,35,protein,109
AAN28140.1_12373,AAN28140.1,12373,protein,109
ATE87153.1_11947,ATE87153.1,11947,protein,109
AAT84355.1_10180,AAT84355.1,10180,protein,109
AKS25408.1_12388,AKS25408.1,12388,protein,109
CAO78649.1_12149,CAO78649.1,12149,protein,109
QAT90324.1_12375,QAT90324.1,12375,protein,109
ADR82193.1_4474,ADR82193.1,4474,protein,109
ABE68464.1_12330,ABE68464.1,12330,protein,109
AAW77934.1_12727,AAW77934.1,12727,protein,109
CCU55693.1_12041,CCU55693.1,12041,protein,109
AFS88938.1_10187,AFS88938.1,10187,protein,109
AMZ05097.1_11919,AMZ05097.1,11919,protein,109
AJR28346.1_8889,AJR28346.1,8889,protein,109
AIR95567.1_8913,AIR95567.1,8913,protein,109
AOO54315.1_11976,AOO54315.1,11976,protein,109
AUA60256.1_12366,AUA60256.1,12366,protein,109
AAG02777.1_12039,AAG02777.1,12039,protein,109
BAE72393.1_12353,BAE72393.1,12353,protein,109
ACQ57330.1_12332,ACQ57330.1,12332,protein,109
AAG53831.1_12349,AAG53831.1,12349,protein,109
AAA66635.1_12329,AAA66635.1,12329,protein,109
CCU55385.1_12038,CCU55385.1,12038,protein,109
AAA47051.1_4550,AAA47051.1,4550,protein,109
AAG45823.1_56,AAG45823.1,56,protein,109
ATU83609.1_12444,ATU83609.1,12444,protein,109
AKN56889.1_9684,AKN56889.1,9684,protein,109
ATU83611.1_12444,ATU83611.1,12444,protein,109
AAA87604.1_9508,AAA87604.1,9508,protein,109
AEI17639.1_8914,AEI17639.1,8914,protein,109
CCU56179.1_12045,CCU56179.1,12045,protein,109
QOD40012.1_12404,QOD40012.1,12404,protein,109
AKS26456.1_12060,AKS26456.1,12060,protein,109
ADZ39818.1_12267,ADZ39818.1,12267,protein,109
AAT00014.1_159,AAT00014.1,159,protein,109
AFK83881.1_116,AFK83881.1,116,protein,109
AAZ38231.1_12317,AAZ38231.1,12317,protein,109
ATV90891.1_10223,ATV90891.1,10223,protein,109
ASH99119.1_12670,ASH99119.1,12670,protein,109
AEW69574.1_12428,AEW69574.1,12428,protein,109
ATU83608.1_12444,ATU83608.1,12444,protein,109
AKR04220.1_12023,AKR04220.1,12023,protein,109
AHN92648.1_9196,AHN92648.1,9196,protein,109
ABG56158.1_4779,ABG56158.1,4779,protein,109
BAF45486.1_12760,BAF45486.1,12760,protein,109
ABC61215.1_12391,ABC61215.1,12391,protein,109
AAG27412.1_12409,AAG27412.1,12409,protein,109
ANK58166.1_12662,ANK58166.1,12662,protein,109
AAC63824.1_12331,AAC63824.1,12331,protein,109
ACI28860.1_12316,ACI28860.1,12316,protein,109
AAQ91752.1_12319,AAQ91752.1,12319,protein,109
QOD40183.1_71,QOD40183.1,71,protein,109
ATU83610.1_12444,ATU83610.1,12444,protein,109
AUO15097.1_12445,AUO15097.1,12445,protein,109
ALC78367.1_9562,ALC78367.1,9562,protein,109
ART33382.1_12141,ART33382.1,12141,protein,109
AAO89491.1_12013,AAO89491.1,12013,protein,109
AAG45804.1_56,AAG45804.1,56,protein,109
AVT50676.1_83,AVT50676.1,83,protein,109
CCU56410.1_12049,CCU56410.1,12049,protein,109
AYM47537.1_8812,AYM47537.1,8812,protein,109
ASZ84986.1_11948,ASZ84986.1,11948,protein,109
AAC54851.1_4551,AAC54851.1,4551,protein,109
AAX86616.1_4758,AAX86616.1,4758,protein,109
ABY47870.1_12401,ABY47870.1,12401,protein,109
AAL88927.1_12435,AAL88927.1,12435,protein,109
AAQ21632.1_12395,AAQ21632.1,12395,protein,109
ABI35771.1_12345,ABI35771.1,12345,protein,109
QEI03627.1_12372,QEI03627.1,12372,protein,109
AAK96333.1_12350,AAK96333.1,12350,protein,109
ABI13860.1_12325,ABI13860.1,12325,protein,109
BAO49568.1_12030,BAO49568.1,12030,protein,109
AAT98582.1_10182,AAT98582.1,10182,protein,109
AAC59051.1_12368,AAC59051.1,12368,protein,109
ALZ45741.2_12442,ALZ45741.2,12442,protein,109
AFG19601.1_12263,AFG19601.1,12263,protein,109
AAB29334.1_12094,AAB29334.1,12094,protein,109
CCU55548.1_12038,CCU55548.1,12038,protein,109
AJE29727.1_160,AJE29727.1,160,protein,109
AAL33007.1_12434,AAL33007.1,12434,protein,109
ADJ96344.1_4773,ADJ96344.1,4773,protein,109
AAK57155.1_117,AAK57155.1,117,protein,109
ATZ81536.1_12421,ATZ81536.1,12421,protein,109
ABL75963.1_12363,ABL75963.1,12363,protein,109
BBM13207.1_75,BBM13207.1,75,protein,109
ADC53940.1_12020,ADC53940.1,12020,protein,110
AAM13462.1_12007,AAM13462.1,12007,protein,110
AAK94154.1_12414,AAK94154.1,12414,protein,110
ALE30339.1_12237,ALE30339.1,12237,protein,110
ABQ43587.1_12028,ABQ43587.1,12028,protein,110
AIU41306.1_12380,AIU41306.1,12380,protein,110
WBM84630.1_9689,WBM84630.1,9689,protein,110
AAL33271.1_12434,AAL33271.1,12434,protein,110
AAA66737.1_12329,AAA66737.1,12329,protein,110
AAL89191.1_12435,AAL89191.1,12435,protein,110
BAG74670.1_12351,BAG74670.1,12351,protein,110
CAA37546.1_10126,CAA37546.1,10126,protein,110
AAP50713.1_101,AAP50713.1,101,protein,110
APO13955.1_12408,APO13955.1,12408,protein,110
AOC55159.1_11899,AOC55159.1,11899,protein,110
AIY22252.1_11959,AIY22252.1,11959,protein,110
AJD20081.1_12429,AJD20081.1,12429,protein,110
ATU83603.1_12444,ATU83603.1,12444,protein,110
AAG53815.1_12349,AAG53815.1,12349,protein,110
AAQ21670.1_12395,AAQ21670.1,12395,protein,110
AAF05295.1_12413,AAF05295.1,12413,protein,110
AAK96346.1_12350,AAK96346.1,12350,protein,110
AVM87372.1_8862,AVM87372.1,8862,protein,110
AKS26428.1_12060,AKS26428.1,12060,protein,110
BAO49443.1_12030,BAO49443.1,12030,protein,110
AID46805.1_11982,AID46805.1,11982,protein,110
ADU05403.1_8997,ADU05403.1,8997,protein,110
AAG53845.1_12349,AAG53845.1,12349,protein,110
QDA34223.1_12637,QDA34223.1,12637,protein,110
AAR98263.1_12019,AAR98263.1,12019,protein,110
CAG17400.1_12723,CAG17400.1,12723,protein,110
APO15882.1_79,APO15882.1,79,protein,110
AYN64713.1_12004,AYN64713.1,12004,protein,110
AZQ20761.1_11907,AZQ20761.1,11907,protein,110
AGA16229.1_12381,AGA16229.1,12381,protein,110
AZQ20767.1_11907,AZQ20767.1,11907,protein,110
AGQ20267.1_12393,AGQ20267.1,12393,protein,110
AAM92416.1_12008,AAM92416.1,12008,protein,110
AAK96319.1_12350,AAK96319.1,12350,protein,110
AJR28565.1_8992,AJR28565.1,8992,protein,110
AUD40358.1_11978,AUD40358.1,11978,protein,110
AHH82694.1_12333,AHH82694.1,12333,protein,110
AAQ99114.1_12416,AAQ99114.1,12416,protein,110
AAO89429.1_12013,AAO89429.1,12013,protein,110
CAL44616.1_11894,CAL44616.1,11894,protein,110
ARE31885.1_12286,ARE31885.1,12286,protein,110
ABI35788.1_12345,ABI35788.1,12345,protein,110
ATI21187.1_12000,ATI21187.1,12000,protein,110
CCU56436.1_12049,CCU56436.1,12049,protein,110
AII22575.1_12092,AII22575.1,12092,protein,110
CCU55541.1_12038,CCU55541.1,12038,protein,110
AAG02948.1_12039,AAG02948.1,12039,protein,110
AKS26381.1_12060,AKS26381.1,12060,protein,110
AST09259.1_11992,AST09259.1,11992,protein,110
ADD73792.1_12359,ADD73792.1,12359,protein,110
AAL33481.1_12434,AAL33481.1,12434,protein,110
AGO14388.1_12729,AGO14388.1,12729,protein,110
BAG74639.1_12351,BAG74639.1,12351,protein,110
AQQ80302.1_12389,AQQ80302.1,12389,protein,110
AOC55127.1_11899,AOC55127.1,11899,protein,110
AAC13890.1_10287,AAC13890.1,10287,protein,110
CCU56362.1_12049,CCU56362.1,12049,protein,110
ABG25814.1_33,ABG25814.1,33,protein,110
APZ76238.1_122,APZ76238.1,122,protein,110
ACQ57257.1_12332,ACQ57257.1,12332,protein,110
AAX24122.1_12759,AAX24122.1,12759,protein,110
QOD40053.1_12404,QOD40053.1,12404,protein,110
AAF99198.1_109,AAF99198.1,109,protein,110
AAL40597.1_12009,AAL40597.1,12009,protein,110
AAR07468.1_12029,AAR07468.1,12029,protein,110
ARS01851.1_68,ARS01851.1,68,protein,110
APA31997.1_12584,APA31997.1,12584,protein,110
AKR17367.1_12384,AKR17367.1,12384,protein,110
ADE34357.1_11905,ADE34357.1,11905,protein,110
ACO53579.1_12348,ACO53579.1,12348,protein,110
CAA51899.1_12147,CAA51899.1,12147,protein,110
ACQ57202.1_12332,ACQ57202.1,12332,protein,110
ALE30445.1_12275,ALE30445.1,12275,protein,110
AAC63750.1_12331,AAC63750.1,12331,protein,110
AYN45073.1_12324,AYN45073.1,12324,protein,110
AAC63694.1_12331,AAC63694.1,12331,protein,110
AJL34097.1_11966,AJL34097.1,11966,protein,110
AEQ32272.1_102,AEQ32272.1,102,protein,110
AIZ48592.1_12318,AIZ48592.1,12318,protein,110
AAM13604.1_12007,AAM13604.1,12007,protein,110
AAZ39492.1_4548,AAZ39492.1,4548,protein,110
AVA31159.1_12369,AVA31159.1,12369,protein,110
AOP31705.1_12015,AOP31705.1,12015,protein,110
AAW51799.1_12727,AAW51799.1,12727,protein,110
ABC74941.1_12415,ABC74941.1,12415,protein,110
AXU41612.1_12374,AXU41612.1,12374,protein,110
AJK91681.1_12411,AJK91681.1,12411,protein,110
QHR78555.1_11900,QHR78555.1,11900,protein,110
CCU56085.1_12045,CCU56085.1,12045,protein,110
AZZ86061.1_12235,AZZ86061.1,12235,protein,110
ALM25960.1_113,ALM25960.1,113,protein,110
AAM09137.1_12361,AAM09137.1,12361,protein,110
AFX59854.1_12437,AFX59854.1,12437,protein,110
AAC59595.1_88,AAC59595.1,88,protein,110
AEV80839.1_97,AEV80839.1,97,protein,110
QDL56972.1_12344,QDL56972.1,12344,protein,110
ABC74930.1_12415,ABC74930.1,12415,protein,110
AHD25588.1_12336,AHD25588.1,12336,protein,110
AOW41385.1_12412,AOW41385.1,12412,protein,110
AAM09163.1_12361,AAM09163.1,12361,protein,110
AGR57138.1_12337,AGR57138.1,12337,protein,110
BAO49573.1_12030,BAO49573.1,12030,protein,110
AAL98736.1_11901,AAL98736.1,11901,protein,110
QBB28687.1_12432,QBB28687.1,12432,protein,110
AGO14460.1_12729,AGO14460.1,12729,protein,110
AGI62323.1_9352,AGI62323.1,9352,protein,110
AFK83870.1_116,AFK83870.1,116,protein,110
CAC21350.1_12027,CAC21350.1,12027,protein,110
ACI28742.1_12316,ACI28742.1,12316,protein,110
AAC55278.1_12002,AAC55278.1,12002,protein,110
AKJ93836.1_12010,AKJ93836.1,12010,protein,110
AEB00296.1_12392,AEB00296.1,12392,protein,110
AAX82323.1_11902,AAX82323.1,11902,protein,110
ATU83604.1_12444,ATU83604.1,12444,protein,110
QAT90298.1_12375,QAT90298.1,12375,protein,110
ABI35745.1_12345,ABI35745.1,12345,protein,110
QYC92770.1_12382,QYC92770.1,12382,protein,110
AFB76900.1_12016,AFB76900.1,12016,protein,110
ACH69402.1_12406,ACH69402.1,12406,protein,110
ADG63120.1_4782,ADG63120.1,4782,protein,110
ACH69381.1_12406,ACH69381.1,12406,protein,110
ATU83600.1_12444,ATU83600.1,12444,protein,110
AKJ93640.1_12010,AKJ93640.1,12010,protein,110
ABD28904.1_158,ABD28904.1,158,protein,110
ABY47740.1_12401,ABY47740.1,12401,protein,110
AAU10872.1_11898,AAU10872.1,11898,protein,110
ABS76418.1_12327,ABS76418.1,12327,protein,110
AAK85012.1_11990,AAK85012.1,11990,protein,110
AIZ48666.1_12318,AIZ48666.1,12318,protein,110
ABQ52010.1_12410,ABQ52010.1,12410,protein,110
WBM84625.1_9688,WBM84625.1,9688,protein,110
AJL34130.1_11966,AJL34130.1,11966,protein,110
ASK51256.1_12026,ASK51256.1,12026,protein,110
CCU55482.1_12038,CCU55482.1,12038,protein,110
ANZ90256.1_4674,ANZ90256.1,4674,protein,110
AKR04131.1_12023,AKR04131.1,12023,protein,110
CAA49075.1_12014,CAA49075.1,12014,protein,110
AXN74943.1_12005,AXN74943.1,12005,protein,110
ATU83605.1_12444,ATU83605.1,12444,protein,110
ACZ92168.1_12148,ACZ92168.1,12148,protein,110
AAM92434.1_12008,AAM92434.1,12008,protein,110
AYN64574.1_12004,AYN64574.1,12004,protein,110
ARD71427.1_53,ARD71427.1,53,protein,110
ABG42865.1_39,ABG42865.1,39,protein,110
AAR86128.1_78,AAR86128.1,78,protein,110
CCU55955.1_12045,CCU55955.1,12045,protein,110
AKR04234.1_12023,AKR04234.1,12023,protein,110
AKR04133.1_12023,AKR04133.1,12023,protein,110
APY28360.1_12117,APY28360.1,12117,protein,110
ABQ51957.1_12410,ABQ51957.1,12410,protein,110
UJZ89024.1_12347,UJZ89024.1,12347,protein,110
AUD40167.1_11978,AUD40167.1,11978,protein,110
QYC92771.1_12382,QYC92771.1,12382,protein,110
AEV80727.1_97,AEV80727.1,97,protein,110
ABY47856.1_12401,ABY47856.1,12401,protein,110
QDQ17566.1_4946,QDQ17566.1,4946,protein,110
AOC55257.1_11899,AOC55257.1,11899,protein,110
AHL83546.1_4765,AHL83546.1,4765,protein,110
AAF05168.1_12413,AAF05168.1,12413,protein,110
UBZ25535.1_12431,UBZ25535.1,12431,protein,110
AFX59642.1_12437,AFX59642.1,12437,protein,110
ARD71411.1_53,ARD71411.1,53,protein,110
ATU83601.1_12444,ATU83601.1,12444,protein,110
AEN03636.1_11993,AEN03636.1,11993,protein,110
AOO54531.1_11976,AOO54531.1,11976,protein,110
AYP97977.1_12425,AYP97977.1,12425,protein,110
AAT71827.1_11904,AAT71827.1,11904,protein,110
APG30983.1_4641,APG30983.1,4641,protein,110
AOO54475.1_11976,AOO54475.1,11976,protein,110
AAL88875.1_12435,AAL88875.1,12435,protein,110
AMM72787.1_11903,AMM72787.1,11903,protein,110
AID46576.1_11983,AID46576.1,11983,protein,110
ABD97717.1_12012,ABD97717.1,12012,protein,110
AFB76978.1_12016,AFB76978.1,12016,protein,110
ATU83602.1_12444,ATU83602.1,12444,protein,110
AAQ11074.1_12362,AAQ11074.1,12362,protein,110
ABQ51972.1_12410,ABQ51972.1,12410,protein,110
QBQ01574.1_12402,QBQ01574.1,12402,protein,110
AMS35096.1_4988,AMS35096.1,4988,protein,111
AJL34147.1_11966,AJL34147.1,11966,protein,111
ACI28751.1_12316,ACI28751.1,12316,protein,111
AOW41497.1_12412,AOW41497.1,12412,protein,111
AEV80786.1_97,AEV80786.1,97,protein,111
AHA93362.1_58,AHA93362.1,58,protein,111
AIT70993.1_12283,AIT70993.1,12283,protein,111
AEI00300.1_55,AEI00300.1,55,protein,111
AAL40529.1_12009,AAL40529.1,12009,protein,111
AOW41506.1_12412,AOW41506.1,12412,protein,111
ALA62378.1_11988,ALA62378.1,11988,protein,111
CAB42099.1_9368,CAB42099.1,9368,protein,111
ABJ09055.1_11995,ABJ09055.1,11995,protein,111
YP_094051.1_12135,YP_094051.1,12135,protein,111
AAK70765.1_12396,AAK70765.1,12396,protein,111
ACH69529.1_12406,ACH69529.1,12406,protein,111
ACH69428.1_12406,ACH69428.1,12406,protein,111
AKJ93708.1_12010,AKJ93708.1,12010,protein,111
ABO45344.1_12423,ABO45344.1,12423,protein,111
ASC55600.1_12018,ASC55600.1,12018,protein,111
ABJ09043.1_11995,ABJ09043.1,11995,protein,111
APZ76331.1_122,APZ76331.1,122,protein,111
AXH02942.1_11933,AXH02942.1,11933,protein,111
